id,candidato,data_ited,conversation_id,referenced_tweet_id
1553445191310315521,Lula,2022-07-31,1553445191310315521,
1553431989365137409,Lula,2022-07-31,1553431989365137409,
1553423420506923010,Lula,2022-07-31,1553423420506923010,
1553421848964120580,Lula,2022-07-31,1553421848964120580,
1553417904418349056,Lula,2022-07-31,1553417904418349056,
1553417800542208001,Lula,2022-07-31,1553417800542208001,
1553416918148734976,Lula,2022-07-31,1553416918148734976,
1553415896126865408,Lula,2022-07-31,1553415896126865408,
1553415741021503490,Lula,2022-07-31,1553415741021503490,
1553408043257368577,Lula,2022-07-31,1553408043257368577,
1553393349066838016,Lula,2022-07-31,1553393349066838016,
1553345152604901376,Lula,2022-07-31,1553345152604901376,
1553183856366428160,Lula,2022-07-31,1553183856366428160,
1553876033887240199,Lula,2022-08-01,1553876033887240199,1553697327906529280
1553847803092369409,Lula,2022-08-01,1553847803092369409,
1553782386353119232,Lula,2022-08-01,1553782386353119232,
1553736324183638018,Lula,2022-08-01,1553736324183638018,1553501570620428288
1553702314090921984,Lula,2022-08-01,1553702314090921984,
1553546532900802563,Lula,2022-08-01,1553546532900802563,
1554254127655538689,Lula,2022-08-02,1554254127655538689,
1554215464871628800,Lula,2022-08-02,1554215464871628800,
1554196849619263489,Lula,2022-08-02,1554196849619263489,
1554142072768286720,Lula,2022-08-02,1554142072768286720,
1554097339010371585,Lula,2022-08-02,1554097339010371585,
1554056426267484162,Lula,2022-08-02,1554056426267484162,
1553912557609656320,Lula,2022-08-02,1553912557609656320,
1553893834953838593,Lula,2022-08-02,1553893834953838593,
1554601763977793536,Lula,2022-08-03,1554601763977793536,
1554600933887287297,Lula,2022-08-03,1554600933887287297,
1554599706948501506,Lula,2022-08-03,1554599706948501506,
1554598485395136512,Lula,2022-08-03,1554598485395136512,
1554598000189661184,Lula,2022-08-03,1554598000189661184,
1554596211361026049,Lula,2022-08-03,1554596211361026049,
1554587491985985544,Lula,2022-08-03,1554587491985985544,
1554568638681624578,Lula,2022-08-03,1554568638681624578,
1554534796637921281,Lula,2022-08-03,1554534796637921281,
1554510984022220801,Lula,2022-08-03,1554510984022220801,
1554476520764329986,Lula,2022-08-03,1554476520764329986,
1554423010991509507,Lula,2022-08-03,1554422461982195713,1554422461982195713
1554422461982195713,Lula,2022-08-03,1554422461982195713,
1554274263355609088,Lula,2022-08-03,1554274263355609088,
1554966109408878593,Lula,2022-08-04,1554966109408878593,
1554953932836708356,Lula,2022-08-04,1554953932836708356,
1554912900996898817,Lula,2022-08-04,1554912900996898817,
1554883238371409922,Lula,2022-08-04,1554883238371409922,
1554861847492321286,Lula,2022-08-04,1554861847492321286,
1554820375191719937,Lula,2022-08-04,1554820375191719937,
1554786554589110272,Lula,2022-08-04,1554786552898895872,1554786552898895872
1554634336925896704,Lula,2022-08-04,1554634336925896704,
1554626134846967808,Lula,2022-08-04,1554626134846967808,
1554618152683802626,Lula,2022-08-04,1554618152683802626,
1555335921100361729,Lula,2022-08-05,1555335921100361729,
1555320108322623493,Lula,2022-08-05,1555320108322623493,
1555299339869868032,Lula,2022-08-05,1555299339869868032,1555296124289818626
1555292247654121473,Lula,2022-08-05,1555292245905084416,1555292245905084416
1555292245905084416,Lula,2022-08-05,1555292245905084416,
1555289907718787072,Lula,2022-08-05,1555289907718787072,
1555286894732226561,Lula,2022-08-05,1555286894732226561,
1555254972262109185,Lula,2022-08-05,1555254972262109185,1555146539823030273
1555235554710769664,Lula,2022-08-05,1555235554710769664,
1555173771908186114,Lula,2022-08-05,1555173771908186114,
1555147621345402881,Lula,2022-08-05,1555147621345402881,
1555001330900541441,Lula,2022-08-05,1555001330900541441,
1554987523709046785,Lula,2022-08-05,1554987523709046785,
1554986060811079680,Lula,2022-08-05,1554986060811079680,
1554985669713330177,Lula,2022-08-05,1554985669713330177,
1554984310192709633,Lula,2022-08-05,1554984310192709633,
1554983543415209986,Lula,2022-08-05,1554983543415209986,
1554982872041365504,Lula,2022-08-05,1554982872041365504,
1555672354960953344,Lula,2022-08-06,1555672354960953344,
1555656856789569538,Lula,2022-08-06,1555656856789569538,
1555626574107525121,Lula,2022-08-06,1555626574107525121,
1555586311138033670,Lula,2022-08-06,1555586311138033670,
1555578040306044930,Lula,2022-08-06,1555578040306044930,
1555577861624500224,Lula,2022-08-06,1555577861624500224,
1555577759124135936,Lula,2022-08-06,1555577759124135936,
1555577631587897349,Lula,2022-08-06,1555577631587897349,
1555575977224421377,Lula,2022-08-06,1555575977224421377,
1555575371319414785,Lula,2022-08-06,1555575371319414785,
1555575238565453825,Lula,2022-08-06,1555575238565453825,
1555575132520955904,Lula,2022-08-06,1555575132520955904,
1555575045191340032,Lula,2022-08-06,1555575045191340032,
1555573797666816002,Lula,2022-08-06,1555573797666816002,
1555573652107968512,Lula,2022-08-06,1555573652107968512,
1555573013940158466,Lula,2022-08-06,1555573013940158466,
1555571778562527232,Lula,2022-08-06,1555571778562527232,
1555571690339504128,Lula,2022-08-06,1555571688892506119,1555571688892506119
1555571688892506119,Lula,2022-08-06,1555571688892506119,
1555571483602190345,Lula,2022-08-06,1555571483602190345,
1555570325294878721,Lula,2022-08-06,1555570325294878721,
1555568190247370759,Lula,2022-08-06,1555568190247370759,1555502651256852484
1555565376817139713,Lula,2022-08-06,1555565376817139713,
1555536254531522560,Lula,2022-08-06,1555536252220358657,1555536252220358657
1555536252220358657,Lula,2022-08-06,1555536252220358657,
1555362914902704133,Lula,2022-08-06,1555362914902704133,
1556039795272552448,Lula,2022-08-07,1556039795272552448,
1556013265360240642,Lula,2022-08-07,1556013265360240642,
1555975744790175746,Lula,2022-08-07,1555975744790175746,
1555928620929105926,Lula,2022-08-07,1555928620929105926,
1555909076885901312,Lula,2022-08-07,1555854995626549248,1555854995626549248
1555874337550376960,Lula,2022-08-07,1555874337550376960,
