id,topico,topico_rotulo
1574149428025368582,6,"ciro, giro ciro, giro, perca, sp"
1574354872241164289,6,"ciro, giro ciro, giro, perca, sp"
1574476750427684864,0,"brasil, brasildaesperança, povo, país, equipelula"
1574542980694028288,1,"povo, presidente, porque, bolsonaro, gente"
1574704327276593152,0,"brasil, brasildaesperança, povo, país, equipelula"
1574794244870529024,6,"ciro, giro ciro, giro, perca, sp"
1574874493184516103,6,"ciro, giro ciro, giro, perca, sp"
1574900075016380416,3,"cirotv, vivo, cirotv br, br, acompanhe"
1574969177043247104,5,"dia, amanhã, bom, povo, obrigado"
1575058486962290688,0,"brasil, brasildaesperança, povo, país, equipelula"
1575191185198841857,6,"ciro, giro ciro, giro, perca, sp"
1575257387103125504,6,"ciro, giro ciro, giro, perca, sp"
1575293127849648132,9,"educação, escola, universidades, estudantes, ensino"
1575325362304737281,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1575443479236415490,2,"governo, renda, salário, mínimo, aumento"
1575508364989276161,0,"brasil, brasildaesperança, povo, país, equipelula"
1575587795891953664,0,"brasil, brasildaesperança, povo, país, equipelula"
1575606425690439685,6,"ciro, giro ciro, giro, perca, sp"
1575719740345323522,6,"ciro, giro ciro, giro, perca, sp"
1575895286848884737,1,"povo, presidente, porque, bolsonaro, gente"
1575948299701452860,0,"brasil, brasildaesperança, povo, país, equipelula"
1575956805892837376,6,"ciro, giro ciro, giro, perca, sp"
1575968080416497664,6,"ciro, giro ciro, giro, perca, sp"
1575990722326827008,1,"povo, presidente, porque, bolsonaro, gente"
1576013860347138048,11,"fake, fake news, news, verdade, mentiras"
1576021661039534080,1,"povo, presidente, porque, bolsonaro, gente"
1576028595952447490,0,"brasil, brasildaesperança, povo, país, equipelula"
1576151375620120576,7,"educação, brasil, crianças, ensino, melhores"
1576184017073733632,0,"brasil, brasildaesperança, povo, país, equipelula"
1576202106960158720,2,"governo, renda, salário, mínimo, aumento"
1576224103039586306,0,"brasil, brasildaesperança, povo, país, equipelula"
1576260686665068544,0,"brasil, brasildaesperança, povo, país, equipelula"
1576293165870419969,0,"brasil, brasildaesperança, povo, país, equipelula"
1576336129196199936,6,"ciro, giro ciro, giro, perca, sp"
1576364722550628352,1,"povo, presidente, porque, bolsonaro, gente"
1576373031177715712,0,"brasil, brasildaesperança, povo, país, equipelula"
1576379329017413633,0,"brasil, brasildaesperança, povo, país, equipelula"
1576401390205014018,0,"brasil, brasildaesperança, povo, país, equipelula"
1576802087693824000,1,"povo, presidente, porque, bolsonaro, gente"
1576983918032850944,0,"brasil, brasildaesperança, povo, país, equipelula"
1577230795399626752,2,"governo, renda, salário, mínimo, aumento"
1577386442015363072,0,"brasil, brasildaesperança, povo, país, equipelula"
1577442046322802689,1,"povo, presidente, porque, bolsonaro, gente"
1577610932057931778,2,"governo, renda, salário, mínimo, aumento"
1577743046871072782,1,"povo, presidente, porque, bolsonaro, gente"
1577781467043733516,6,"ciro, giro ciro, giro, perca, sp"
1577963407101288448,1,"povo, presidente, porque, bolsonaro, gente"
1577996507801853952,1,"povo, presidente, porque, bolsonaro, gente"
1578026301566246913,1,"povo, presidente, porque, bolsonaro, gente"
1578109802131357696,0,"brasil, brasildaesperança, povo, país, equipelula"
1578140522295660544,0,"brasil, brasildaesperança, povo, país, equipelula"
1578163989988507648,1,"povo, presidente, porque, bolsonaro, gente"
1578201966743719936,1,"povo, presidente, porque, bolsonaro, gente"
1578333950660919297,2,"governo, renda, salário, mínimo, aumento"
1578367932093976576,1,"povo, presidente, porque, bolsonaro, gente"
1578517038385238016,6,"ciro, giro ciro, giro, perca, sp"
1578565361624137728,1,"povo, presidente, porque, bolsonaro, gente"
1578708867625648130,6,"ciro, giro ciro, giro, perca, sp"
1578744708402405382,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1578835973370437633,0,"brasil, brasildaesperança, povo, país, equipelula"
1578864823525576704,1,"povo, presidente, porque, bolsonaro, gente"
1578920317996892160,0,"brasil, brasildaesperança, povo, país, equipelula"
1579074132565987328,2,"governo, renda, salário, mínimo, aumento"
1579095178194755584,3,"cirotv, vivo, cirotv br, br, acompanhe"
1579174735237517312,6,"ciro, giro ciro, giro, perca, sp"
1579428695470931969,0,"brasil, brasildaesperança, povo, país, equipelula"
1579495412138119168,0,"brasil, brasildaesperança, povo, país, equipelula"
1579604443313889280,7,"educação, brasil, crianças, ensino, melhores"
1579772129720967168,11,"fake, fake news, news, verdade, mentiras"
1579851131496566784,0,"brasil, brasildaesperança, povo, país, equipelula"
1579869136100134912,6,"ciro, giro ciro, giro, perca, sp"
1579936891243089920,6,"ciro, giro ciro, giro, perca, sp"
1579959571309039617,0,"brasil, brasildaesperança, povo, país, equipelula"
1580144595303682048,2,"governo, renda, salário, mínimo, aumento"
1580235921295048705,2,"governo, renda, salário, mínimo, aumento"
1580260821334372352,1,"povo, presidente, porque, bolsonaro, gente"
1580382691572477955,0,"brasil, brasildaesperança, povo, país, equipelula"
1580505385588621312,0,"brasil, brasildaesperança, povo, país, equipelula"
1580535559767805953,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1580631173130489856,1,"povo, presidente, porque, bolsonaro, gente"
1580864847256129536,6,"ciro, giro ciro, giro, perca, sp"
1580985187324026880,1,"povo, presidente, porque, bolsonaro, gente"
1581017982154969088,6,"ciro, giro ciro, giro, perca, sp"
1581036072582418432,6,"ciro, giro ciro, giro, perca, sp"
1581222815990022144,2,"governo, renda, salário, mínimo, aumento"
1581312785816092672,1,"povo, presidente, porque, bolsonaro, gente"
1581373385057406976,6,"ciro, giro ciro, giro, perca, sp"
1581476432219602947,7,"educação, brasil, crianças, ensino, melhores"
1581490966204076032,6,"ciro, giro ciro, giro, perca, sp"
1581495797828681728,1,"povo, presidente, porque, bolsonaro, gente"
1581651114734542849,0,"brasil, brasildaesperança, povo, país, equipelula"
1581729829119934465,5,"dia, amanhã, bom, povo, obrigado"
1581812183544999936,5,"dia, amanhã, bom, povo, obrigado"
1581862982845272064,1,"povo, presidente, porque, bolsonaro, gente"
1582043649705054209,6,"ciro, giro ciro, giro, perca, sp"
1582147141182533633,1,"povo, presidente, porque, bolsonaro, gente"
1582311743723753472,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1582404798212894720,6,"ciro, giro ciro, giro, perca, sp"
1582465847159058433,1,"povo, presidente, porque, bolsonaro, gente"
1582685732396679169,6,"ciro, giro ciro, giro, perca, sp"
1582788291556171781,2,"governo, renda, salário, mínimo, aumento"
1582885037036343297,3,"cirotv, vivo, cirotv br, br, acompanhe"
1583047420417490945,0,"brasil, brasildaesperança, povo, país, equipelula"
1583127482818998272,3,"cirotv, vivo, cirotv br, br, acompanhe"
1583196586011930624,3,"cirotv, vivo, cirotv br, br, acompanhe"
1583217927666380800,3,"cirotv, vivo, cirotv br, br, acompanhe"
1583271655014473730,0,"brasil, brasildaesperança, povo, país, equipelula"
1583305775266811905,1,"povo, presidente, porque, bolsonaro, gente"
1583420672922959872,1,"povo, presidente, porque, bolsonaro, gente"
1583475637016141826,2,"governo, renda, salário, mínimo, aumento"
1583566232724250624,2,"governo, renda, salário, mínimo, aumento"
1583645320801505280,11,"fake, fake news, news, verdade, mentiras"
1583760112707342336,9,"educação, escola, universidades, estudantes, ensino"
1583870527244226560,0,"brasil, brasildaesperança, povo, país, equipelula"
1583912078875963392,6,"ciro, giro ciro, giro, perca, sp"
1584168688822804480,6,"ciro, giro ciro, giro, perca, sp"
1584223233167200256,1,"povo, presidente, porque, bolsonaro, gente"
1584244307619237888,6,"ciro, giro ciro, giro, perca, sp"
1584306781530230784,1,"povo, presidente, porque, bolsonaro, gente"
1584367345656827905,0,"brasil, brasildaesperança, povo, país, equipelula"
1584380725779759104,5,"dia, amanhã, bom, povo, obrigado"
1584524047554990080,6,"ciro, giro ciro, giro, perca, sp"
1584585025605234688,0,"brasil, brasildaesperança, povo, país, equipelula"
1584858771670831106,2,"governo, renda, salário, mínimo, aumento"
1584920511666159618,6,"ciro, giro ciro, giro, perca, sp"
1584932266194522112,0,"brasil, brasildaesperança, povo, país, equipelula"
1584978633466458112,6,"ciro, giro ciro, giro, perca, sp"
1585053774561038337,6,"ciro, giro ciro, giro, perca, sp"
1585204664328675328,0,"brasil, brasildaesperança, povo, país, equipelula"
1585378361442193409,6,"ciro, giro ciro, giro, perca, sp"
1585575572146733056,2,"governo, renda, salário, mínimo, aumento"
1585688477038825472,11,"fake, fake news, news, verdade, mentiras"
1585738719717367812,6,"ciro, giro ciro, giro, perca, sp"
1585775769153781760,2,"governo, renda, salário, mínimo, aumento"
1585943067911426051,2,"governo, renda, salário, mínimo, aumento"
1585969559336427520,0,"brasil, brasildaesperança, povo, país, equipelula"
1586123840945782786,5,"dia, amanhã, bom, povo, obrigado"
1586200156047028224,11,"fake, fake news, news, verdade, mentiras"
1586206631703982080,5,"dia, amanhã, bom, povo, obrigado"
1586296166660341761,0,"brasil, brasildaesperança, povo, país, equipelula"
1586314469323448320,8,"bolsonaro, saúde, vacina, pessoas, pandemia"
1586462228340801542,5,"dia, amanhã, bom, povo, obrigado"
1586471646688264192,0,"brasil, brasildaesperança, povo, país, equipelula"
1586481694294835200,0,"brasil, brasildaesperança, povo, país, equipelula"
1559161981063647235,1,"povo, presidente, porque, bolsonaro, gente"
1559178093683695616,0,"brasil, brasildaesperança, povo, país, equipelula"
1559193436158402562,0,"brasil, brasildaesperança, povo, país, equipelula"
1559277971785015296,0,"brasil, brasildaesperança, povo, país, equipelula"
1559291726283554816,0,"brasil, brasildaesperança, povo, país, equipelula"
1559319653901602818,3,"cirotv, vivo, cirotv br, br, acompanhe"
1559341914767474690,3,"cirotv, vivo, cirotv br, br, acompanhe"
1559349581195972608,0,"brasil, brasildaesperança, povo, país, equipelula"
1559350229329125376,0,"brasil, brasildaesperança, povo, país, equipelula"
1559350370928934915,1,"povo, presidente, porque, bolsonaro, gente"
1559351224092311554,0,"brasil, brasildaesperança, povo, país, equipelula"
