id,url,autor_nome,autor_handle,data,texto,eh_resposta,respostas,retweets,curtidas,visualizacoes,erro
1566036733799563265,https://x.com/i/web/status/1566036733799563265,Ciro Gomes,@cirogomes,2022-09-03T12:13:47.000Z,"Mesmo fazendo uma campanha crítica e vigorosa, os índices de rejeição do Ciro vêm baixando de forma consistente e acelerada, em todos os segmentos. No DataFolha ele agora tem uma  rejeição de apenas 24% - menor que a de Lula, que subiu para 39%.",nao,20 Respostas. Resposta,275 reposts. Repost,1438 Curtidas. Curtida,,
1566036647782846465,https://x.com/i/web/status/1566036647782846465,Ciro Gomes,@cirogomes,2022-09-03T12:13:27.000Z,"Atenção, muita atenção!  para os que se surpreenderam com as análises bastante positivas para o Ciro de cortes por segmentos do DataFolha. Atenção, muita atenção, porque o melhor vem agora! ",nao,403 Respostas. Resposta,691 reposts. Repost,3452 Curtidas. Curtida,,
1565852408454029313,https://x.com/i/web/status/1565852408454029313,Ciro Gomes,@cirogomes,2022-09-03T00:01:20.000Z,"Estamos AO VIVO em mais uma edição da nossa MESA 12 na #CiroTV! Acompanhe pelo 
cirotv.com.br",nao,73 Respostas. Resposta,224 reposts. Repost,1179 Curtidas. Curtida,,
1565840724138102789,https://x.com/i/web/status/1565840724138102789,Ciro Gomes,@cirogomes,2022-09-02T23:14:55.000Z,"A partir do modelo das escolas técnicas do Ceará, vamos criar o programa Minha Escola, Meu Emprego, Meu Negócio. Ele vai ajudar muitos jovens a vencerem o desafio do primeiro emprego.",nao,134 Respostas. Resposta,683 reposts. Repost,2009 Curtidas. Curtida,,
1565798678346010625,https://x.com/i/web/status/1565798678346010625,Ciro Gomes,@cirogomes,2022-09-02T20:27:50.000Z,"Bolsonaro e seu gabinete do ódio resolveram atacar a advogada e apresentadora Gabriela Prioli. A tentativa de intimidação é grave e deve ser investigada. Minha solidariedade, 
@GabrielaPrioli
.",nao,1177 Respostas. Resposta,759 reposts. Repost,8538 Curtidas. Curtida,,
1565780941305483264,https://x.com/i/web/status/1565780941305483264,Ciro Gomes,@cirogomes,2022-09-02T19:17:21.000Z,"Dos 32% de eleitores brasileiros que se inclinam a votar em Bolsonaro, quase um terço deles tem Ciro como segunda opção. Nenhum candidato demonstra tanto potencial de crescimento!",nao,31 Respostas. Resposta,243 reposts. Repost,1189 Curtidas. Curtida,,
1565780939464212481,https://x.com/i/web/status/1565780939464212481,Ciro Gomes,@cirogomes,2022-09-02T19:17:21.000Z,"Não bastasse tudo isso, consolidou-se em definitivo como a segunda opção de voto entre os eleitores de Lula e de Bolsonaro. Exemplo: 45% do eleitorado brasileiro inclina-se por Lula (37% deste universo tem Ciro como segunda opção). (...)",nao,25 Respostas. Resposta,198 reposts. Repost,1100 Curtidas. Curtida,,
1565780937794895873,https://x.com/i/web/status/1565780937794895873,Ciro Gomes,@cirogomes,2022-09-02T19:17:21.000Z,"Ciro praticamente dobrou as intenções de votos entres os mais jovens (de 8% para 15%), mais que dobrou na classe A (de 6% para 13%) e cresceu nas regiões Sul e Norte e entre os evangélicos.  (...)",nao,9 Respostas. Resposta,228 reposts. Repost,1263 Curtidas. Curtida,,
1565780935106248706,https://x.com/i/web/status/1565780935106248706,Ciro Gomes,@cirogomes,2022-09-02T19:17:20.000Z,"O crescimento de Ciro, em termos absolutos no DataFolha, contém outras novidades ainda mais positivas nos cortes por segmentos. Isso é suficiente para garantir avanços bem significativos no curto prazo. ",nao,312 Respostas. Resposta,664 reposts. Repost,3557 Curtidas. Curtida,,
1565776577467535362,https://x.com/i/web/status/1565776577467535362,Ciro Gomes,@cirogomes,2022-09-02T19:00:01.000Z,"Nesse corte do programa de ontem, faço uma pergunta provocativa. Quero saber se você concorda comigo.",nao,76 Respostas. Resposta,398 reposts. Repost,1282 Curtidas. Curtida,,
1565724215378149379,https://x.com/i/web/status/1565724215378149379,Ciro Gomes,@cirogomes,2022-09-02T15:31:57.000Z,"Assista ao programa completo desta quinta 
youtu.be/Ip4x8ZfaXdw e veja mais detalhes sobre o projeto.",nao,13 Respostas. Resposta,120 reposts. Repost,470 Curtidas. Curtida,,
1565724112290463745,https://x.com/i/web/status/1565724112290463745,Ciro Gomes,@cirogomes,2022-09-02T15:31:32.000Z,"Não existe segredo nem fórmula mágica por trás da revolução que fizemos no ensino público de Sobral – que foi de 1.366 no ranking do Ideb para o primeiro lugar em apenas 10 anos. Tudo foi feito com muito TRABALHO, PLANEJAMENTO e VONTADE POLÍTICA.",nao,84 Replies. Reply,439 reposts. Repost,1404 Likes. Like,,
1565706660504559617,https://x.com/i/web/status/1565706660504559617,Ciro Gomes,@cirogomes,2022-09-02T14:22:11.000Z,"Temos quase 50 milhões de brasileiros vivendo na informalidade mais selvagem da história do capitalismo mundial. Jornada de trabalho semanal de 70h, sem descanso remunerado, sem férias, sem 13º e sem nenhuma aposentadoria – o que está acabando com a saúde mental do nosso povo.",nao,165 Replies. Reply,429 reposts. Repost,2026 Likes. Like,,
1565696780427313153,https://x.com/i/web/status/1565696780427313153,Ciro Gomes,@cirogomes,2022-09-02T13:42:56.000Z,"Também estamos AO VIVO na 
cirotv.com.br! Acompanhe ",nao,42 Replies. Reply,204 reposts. Repost,855 Likes. Like,,
1565692241636720640,https://x.com/i/web/status/1565692241636720640,Ciro Gomes,@cirogomes,2022-09-02T13:24:54.000Z,GIRO DO CIRO - ENCONTRO A OAB | SÃO PAULO/SP | 02/09/2022,nao,49 Replies. Reply,254 reposts. Repost,864 Likes. Like,,
1565680430858354689,https://x.com/i/web/status/1565680430858354689,Ciro Gomes,@cirogomes,2022-09-02T12:37:58.000Z,É na divisão justa de direitos e responsabilidades que fazemos um mundo melhor. Bom dia e boa sexta-feira pra todo mundo. ,nao,27 Replies. Reply,264 reposts. Repost,1546 Likes. Like,,
1565680428484362242,https://x.com/i/web/status/1565680428484362242,Ciro Gomes,@cirogomes,2022-09-02T12:37:57.000Z,"Hoje é um bom dia pra relembrar que cuidar dos filhos e dos serviços domésticos é tarefa solidária do casal. E a ocupação igualitária do mercado de trabalho, por homens e mulheres, é dever de toda sociedade.",nao,298 Replies. Reply,1171 reposts. Repost,3777 Likes. Like,,
1565670879106932740,https://x.com/i/web/status/1565670879106932740,Ciro Gomes,@cirogomes,2022-09-02T12:00:00.000Z,"Eu quero ser presidente do Brasil para que nossa educação pública esteja entre as dez melhores do MUNDO em 15 anos. E você, o que quer ser?",nao,233 Replies. Reply,610 reposts. Repost,1859 Likes. Like,,
1565644784097759232,https://x.com/i/web/status/1565644784097759232,Ciro Gomes,@cirogomes,2022-09-02T10:16:19.000Z,"Para nós, fica a lição de onde pode chegar o radicalismo cego, e como polarizações odientas podem armar braços de loucos radicais ou de radicais loucos. Ainda há tempo de salvar o Brasil de uma grande tragédia gerada pelo ódio. Paz!",nao,557 Replies. Reply,521 reposts. Repost,2944 Likes. Like,,
1565644782352961538,https://x.com/i/web/status/1565644782352961538,Ciro Gomes,@cirogomes,2022-09-02T10:16:19.000Z,O atentado frustrado a Cristina Kirchner por pouco não transforma em chuva de sangue a nuvem de ódio que se espalha pelo nosso continente. Nossa solidariedade a esta mulher guerreira que com certeza não se intimidará.,nao,434 Replies. Reply,643 reposts. Repost,5579 Likes. Like,,
1565505192560312320,https://x.com/i/web/status/1565505192560312320,Ciro Gomes,@cirogomes,2022-09-02T01:01:38.000Z,Aqui EDUCAÇÃO É PRIORIDADE! E nosso terceiro programa eleitoral fala exatamente sobre nossa meta de colocar a educação no Brasil entre as dez melhores do mundo num prazo de 15 anos. Pode anotar e me cobrar lá na frente! #CiroPresidente12,nao,76 Replies. Reply,415 reposts. Repost,1180 Likes. Like,,
1565503241349210115,https://x.com/i/web/status/1565503241349210115,Ciro Gomes,@cirogomes,2022-09-02T00:53:53.000Z,"No final da sabatina feita pela 
@CNNBrasil
, Ciro reafirma a necessidade de dar um passo em direção ao futuro para libertar o Brasil dessa ‘bola de chumbo que nos amarra ao passado’. #CiroNaCNN",nao,73 Replies. Reply,345 reposts. Repost,1244 Likes. Like,,
1565501301026349056,https://x.com/i/web/status/1565501301026349056,Ciro Gomes,@cirogomes,2022-09-02T00:46:10.000Z,Ciro fala sobre a polarização que “está rachando a nação brasileira” e responde pra quem vai o seu apoio no segundo turno. #CiroNaCNN,nao,110 Replies. Reply,376 reposts. Repost,1460 Likes. Like,,
1565497257922805760,https://x.com/i/web/status/1565497257922805760,Ciro Gomes,@cirogomes,2022-09-02T00:30:06.000Z,Ciro responde como pretende negociar com o Congresso. #CiroNaCNN,nao,55 Replies. Reply,295 reposts. Repost,1124 Likes. Like,,
1565493843264503815,https://x.com/i/web/status/1565493843264503815,Ciro Gomes,@cirogomes,2022-09-02T00:16:32.000Z,"Ciro mostra nesse trecho da entrevista à 
@CNNBrasil
 que é o único candidato com propostas concretas pra beneficiar os mais pobres e com coragem pra taxar os super-ricos. #CiroNaCNN",nao,46 Replies. Reply,330 reposts. Repost,1138 Likes. Like,,
1565492860794900481,https://x.com/i/web/status/1565492860794900481,Ciro Gomes,@cirogomes,2022-09-02T00:12:38.000Z,"Essa polarização tá rachando a nação brasileira. É só parar pra pensar: qualquer um dos dois que sejam eleitos, o Brasil vai amanhecer mais ou menos radicalizado? Mais ou menos assentado no ódio?",nao,1843 Replies. Reply,757 reposts. Repost,4872 Likes. Like,,
