resposta_id,tweet_pai,candidato,data
1572293791242981378,1572217501597208577,Lula,
1572299881213210629,1572217501597208577,Lula,
1572281805075804160,1572217501597208577,Lula,
1572259992161353730,1572217501597208577,Lula,
1572228885538025473,1572217501597208577,Lula,
1572255096528076801,1572217501597208577,Lula,
1572220849754628096,1572217501597208577,Lula,
1572346817605664769,1572217501597208577,Lula,
1562235479940108289,1562233896775069697,Ciro Gomes,
1562252322658557952,1562233896775069697,Ciro Gomes,
1562263544393072640,1562233896775069697,Ciro Gomes,
1562235953560911873,1562233896775069697,Ciro Gomes,
1562234579523715072,1562233896775069697,Ciro Gomes,
1562271709104951296,1562233896775069697,Ciro Gomes,
1562250686498234368,1562233896775069697,Ciro Gomes,
1562385957269213184,1562233896775069697,Ciro Gomes,
1562245556495433728,1562233896775069697,Ciro Gomes,
1562644023029874688,1562233896775069697,Ciro Gomes,
1562821549966921735,1562233896775069697,Ciro Gomes,
1562235596122324992,1562233896775069697,Ciro Gomes,
1562264111886602240,1562233896775069697,Ciro Gomes,
1562387792331739136,1562233896775069697,Ciro Gomes,
1562239816523288577,1562233896775069697,Ciro Gomes,
1562237206621732864,1562233896775069697,Ciro Gomes,
1562399196011012096,1562233896775069697,Ciro Gomes,
1562238101510148096,1562233896775069697,Ciro Gomes,
1562234844733706240,1562233896775069697,Ciro Gomes,
1562259424114348033,1562233896775069697,Ciro Gomes,
1580940964188762112,1580864847256129536,Bolsonaro,
1580899099066318849,1580864847256129536,Bolsonaro,
1581078417604108289,1580864847256129536,Bolsonaro,
1580968342906499084,1580864847256129536,Bolsonaro,
1580976629504823296,1580864847256129536,Bolsonaro,
1580941289801285632,1580864847256129536,Bolsonaro,
1580926938876551168,1580864847256129536,Bolsonaro,
1581266388936982528,1580864847256129536,Bolsonaro,
1580921786840948737,1580864847256129536,Bolsonaro,
1580975010268651520,1580864847256129536,Bolsonaro,
1581038921428803585,1580864847256129536,Bolsonaro,
1581080132760240128,1580864847256129536,Bolsonaro,
1580977828333760512,1580864847256129536,Bolsonaro,
1581107431534256129,1580864847256129536,Bolsonaro,
1580889266850521088,1580864847256129536,Bolsonaro,
1581094618112065536,1580864847256129536,Bolsonaro,
1580913460451618817,1580864847256129536,Bolsonaro,
1580923815214821377,1580864847256129536,Bolsonaro,
1580966351346499585,1580864847256129536,Bolsonaro,
1580885755286601728,1580864847256129536,Bolsonaro,
1572562664060227586,1572242334519009282,Lula,
1572778119504740352,1572242334519009282,Lula,
1572390283182215168,1572242334519009282,Lula,
1572266007514812417,1572242334519009282,Lula,
1572570949333184514,1572242334519009282,Lula,
1572570828675641349,1572242334519009282,Lula,
1572529132805947393,1572242334519009282,Lula,
1572274717964247041,1572242334519009282,Lula,
1572260830741397506,1572242334519009282,Lula,
1572289365518258177,1572242334519009282,Lula,
1572269909815459840,1572242334519009282,Lula,
1572628675161632768,1572242334519009282,Lula,
1572540591715786754,1572242334519009282,Lula,
1572328446126166021,1572242334519009282,Lula,
1572320271998111744,1572242334519009282,Lula,
1572283504129642497,1572242334519009282,Lula,
1572305586141659141,1572242334519009282,Lula,
1572688173440049153,1572242334519009282,Lula,
1572412792824553478,1572242334519009282,Lula,
1572893589562331138,1572242334519009282,Lula,
1567714880999784448,1567175965712719875,Lula,
1567259019038834691,1567175965712719875,Lula,
1567349937184165889,1567175965712719875,Lula,
1567458549927759872,1567175965712719875,Lula,
1567279873042911234,1567175965712719875,Lula,
1567177657942511616,1567175965712719875,Lula,
1567232836331077633,1567175965712719875,Lula,
1567352335310983173,1567175965712719875,Lula,
1567507391624712193,1567175965712719875,Lula,
1567355069867114496,1567175965712719875,Lula,
1567233700881997830,1567175965712719875,Lula,
1567315766952820737,1567175965712719875,Lula,
1567260184598220801,1567175965712719875,Lula,
1567240199347879937,1567175965712719875,Lula,
1567526144211128320,1567175965712719875,Lula,
1567449035920867330,1567175965712719875,Lula,
1567588975975579650,1567175965712719875,Lula,
1567551037489266689,1567175965712719875,Lula,
1567343851278417920,1567175965712719875,Lula,
1567251084502093829,1567175965712719875,Lula,
1562736046801965056,1562593671954026497,Ciro Gomes,
1562596037029548033,1562593671954026497,Ciro Gomes,
1562929873378746369,1562593671954026497,Ciro Gomes,
1562604683612815360,1562593671954026497,Ciro Gomes,
1562620996690923520,1562593671954026497,Ciro Gomes,
1562784507245522946,1562593671954026497,Ciro Gomes,
1562604437981384710,1562593671954026497,Ciro Gomes,
1562651920954564610,1562593671954026497,Ciro Gomes,
1562605194919424005,1562593671954026497,Ciro Gomes,
1562595363097575424,1562593671954026497,Ciro Gomes,
1563276335518449671,1562593671954026497,Ciro Gomes,
1562635827347275776,1562593671954026497,Ciro Gomes,
1562854599765069825,1562593671954026497,Ciro Gomes,
1562594337573437443,1562593671954026497,Ciro Gomes,
1562767537846177792,1562593671954026497,Ciro Gomes,
1562875812394590209,1562593671954026497,Ciro Gomes,
1562646381403115520,1562593671954026497,Ciro Gomes,
1563026634621747200,1562593671954026497,Ciro Gomes,
1562850249181253633,1562593671954026497,Ciro Gomes,
1562872880215764993,1562593671954026497,Ciro Gomes,
1578069162387247107,1578058399551569921,Lula,
1578082569937108992,1578058399551569921,Lula,
1578073471506173952,1578058399551569921,Lula,
1578211805092089856,1578058399551569921,Lula,
1578085930472177664,1578058399551569921,Lula,
1578127917548273679,1578058399551569921,Lula,
1578245786256945153,1578058399551569921,Lula,
1578494546518114306,1578058399551569921,Lula,
1578389430024507392,1578058399551569921,Lula,
1578062735509753856,1578058399551569921,Lula,
1578072986015481867,1578058399551569921,Lula,
1578068186288865282,1578058399551569921,Lula,
1578106268107304961,1578058399551569921,Lula,
1578082993188528132,1578058399551569921,Lula,
1578061579844784129,1578058399551569921,Lula,
